Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Boring et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,350.2,NA,NA,335.6,NA,NA,14.6,NA,207.97,222.57,NA,NA,NA,0.3389,0.0619,0.3389,0.0619
Boyd 1970,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,162.425,NA,84.120983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0.17
Boyd 1971,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,740.95,NA,398.586295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,0.22
Boyer and Wheeler 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,149.65,NA,64.770932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.7
Boyer and Wheeler 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,88.695,NA,150.931677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.4
Bray 1964,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,132.13,NA,60,122.64,NA,NA,9.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breteler and Teal 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0063,0.53,NA,NA,NA
Breteler and Teal 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,1.2,NA,NA,NA
Breteler and Teal 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0052,2.54,NA,NA,NA
Breteler and Teal 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033,0.77,NA,NA,NA
Briggs et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0987,2.61,0.37,NA,NA
Brouwer 1996,aquatic,marine macroalgal beds,Macroalgal forest,Algae,854.1,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21,0.53
Brown et al 1991,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,1266.032,NA,8.25,NA,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown et al. 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,118.0045,NA,3073.193916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00339
Burns et al. 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,150.4384,NA,NA,NA,NA,NA,NA,NA,41.2888,NA,NA,NA,NA,NA,NA,NA,NA
Bustamante et al. 1995,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1326.5,NA,125.32,NA,NA,NA,NA,81.6,NA,NA,NA,NA,NA,NA,NA,2.42,0.25
Buth 1987,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,5574.09166,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868.8,NA,NA,NA,NA,NA,NA
Buth 1987,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,4090.921095,NA,NA,NA,NA,NA,NA,NA,NA,NA,956.3,NA,NA,NA,NA,NA,NA
Buth 1987,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,3733.32658,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533,NA,NA,NA,NA,NA,NA
Bythell et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,467.16715,NA,NA,423.36715,NA,NA,43.8,NA,NA,NA,0.02336,0.02336,NA,NA,NA,NA,NA
Bythell et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,467.16715,NA,NA,438.69715,NA,NA,28.47,NA,NA,NA,12.41,12.41,NA,NA,NA,NA,NA
Cadee and Hegeman 1977,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,85.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.299935,NA,NA,NA,NA,NA,NA
Caffrey and Kemp 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,769.973705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cahoon and Stevenson 1986,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,482.10514,NA,117.6,409.10514,NA,NA,73,NA,197.1,270.1,54.75,6.205,8.50E-04,NA,NA,NA,NA
Cammen 1980,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,973.5,NA,NA,NA,NA,89.1,NA,2.9,NA,NA,NA,NA,NA,NA,NA,0.9,0.18
Cammen 1980,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,226.4,NA,182.8,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,0.9,0.18
Cargill and Jefferies 1984,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,21.462,NA,6.07,5.986,NA,9.2,15.476,NA,2.856855,18.332855,NA,NA,0.001783,NA,NA,3.9,NA
Cargill and Jefferies 1984,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,21.462,NA,12.76,9.5995,NA,16,11.023,NA,4.321235,15.344235,NA,NA,0.001644,NA,NA,2.75,NA
Carpenter 1986,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,577.576,NA,20,441.65,NA,NA,138.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cattaneo 1983,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,0.876,NA,0.35,0.10585,NA,NA,0.73365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,570.52,NA,NA,515.75,NA,NA,54.77,NA,381.2,435.97,NA,NA,0.0117,2.02,0.1896,2.55,0.1896
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,484.79,NA,NA,427.17,NA,NA,57.62,NA,NA,NA,NA,NA,NA,NA,NA,2.22,0.2885
