Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,236.9945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,916.588,NA,NA,803.438,NA,NA,113.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,200.4215,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84,NA,NA,NA,NA,NA,NA
Mann 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,200.4215,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36135,NA,NA,NA,NA,NA,NA
Marsden 1991,aquatic,marine macroalgal beds,Macroalgal forest,Algae,999.7715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,992.8,NA,NA,NA,NA,NA
Mason and Bryant 1975,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,7.811,NA,4,4.1975,NA,NA,3.6062,NA,NA,NA,NA,NA,NA,NA,NA,4.24,0.405
Mason and Bryant 1975,aquatic,meadows of freshwater submerged macrophytes,Macroalgal forest,Algae,326.2005,NA,146.508197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.2
McClaugherty et al. 1985,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,0.66,NA,NA,NA
McClaugherty et al. 1985,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.66,NA,NA,NA
McClaugherty et al. 1985,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,0.67,NA,NA,NA
McClaugherty et al. 1985,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-04,0.07,NA,NA,NA
McInnes et al. 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,490.00155,NA,NA,262.00065,NA,NA,228.0009,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA
McInnes et al. 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,353.9989,NA,NA,201.9983,NA,NA,152.0006,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA
McInnes et al. 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,301.999905,NA,NA,241.999745,NA,NA,60.00016,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA
McInnes et al. 1992,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,228.0009,NA,NA,164.0018,NA,NA,63.9991,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA
McLachlan et al. 1981,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,198.195,NA,1.256,140.89,NA,21.44,57.305,NA,140.688885,197.993885,0.4015,51.1,0.018004,NA,NA,NA,NA
McLusky 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,63.6633,NA,NA,NA,NA,NA,NA,NA,21.903285,NA,NA,NA,NA,NA,NA,NA,NA
McLusky 1981,aquatic,marine macroalgal beds,Macroalgal forest,Algae,92.6005,NA,NA,66.6855,NA,NA,25.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McLusky 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,181.28747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,NA,NA,NA,NA,NA
McLusky 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,104.588925,NA,NA,98.383925,NA,NA,6.205,NA,25.55,31.755,12.775,58.4,NA,NA,NA,NA,NA
McNaughton 1985,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,380,NA,NA,100,NA,123.4,280,0.964,82.3,362.3,NA,NA,NA,1.86,0.4039,1.86,0.4039
McNaughton 1985,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,328,NA,40,80,NA,187.9,248,0.849,65.2,313.2,NA,NA,NA,2.52,0.444,2.52,0.444
McNaughton 1985,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,265.72,NA,33.47,90.52,NA,361.7,175.2,0.733,87.59571,262.79571,NA,NA,0.027273,1.47,0.373,1.47,0.373
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,611.4538298,NA,427.590091,NA,NA,NA,NA,3.989692704,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,520.3204158,NA,363.860431,NA,NA,NA,NA,3.989692704,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,469.2577704,NA,NA,NA,NA,NA,NA,1.451611169,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,428.7059422,NA,NA,NA,NA,NA,NA,1.35274574,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,396.7481933,NA,NA,NA,NA,NA,NA,1.174756677,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,371.9442393,NA,NA,NA,NA,NA,NA,1.321310236,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,324.7879307,NA,NA,NA,NA,NA,NA,0.540720122,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,306.4548318,NA,NA,NA,NA,NA,NA,0.608176183,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,287.2958496,NA,NA,NA,NA,NA,NA,1.020186728,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,255.7776153,NA,NA,NA,NA,NA,NA,0.825614459,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,250.8715411,NA,NA,NA,NA,NA,NA,1.451611169,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,212.106942,NA,NA,NA,NA,NA,NA,1.120792384,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,212.106942,NA,NA,NA,NA,NA,NA,0.354134121,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,196.2954971,NA,NA,NA,NA,NA,NA,0.825614459,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,172.5186675,NA,NA,NA,NA,NA,NA,0.120072762,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,136.7421673,NA,NA,NA,NA,NA,NA,0.580238655,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,105.6218997,NA,NA,NA,NA,NA,NA,0.226543517,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,103.5959644,NA,NA,NA,NA,NA,NA,0.17491478,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,62.61138244,NA,NA,NA,NA,NA,NA,0.023706072,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,43.89844399,NA,NA,NA,NA,NA,NA,0.106754852,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,615.414014,NA,1810.04,NA,NA,NA,NA,0.865366424,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,423.206256,NA,NA,NA,NA,NA,NA,0.668151443,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,367.1727248,NA,NA,NA,NA,NA,NA,0.148370268,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,326.8914747,NA,NA,NA,NA,NA,NA,1.260613775,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,269.3346511,NA,NA,NA,NA,NA,NA,0.026663458,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,250.8715411,NA,NA,NA,NA,NA,NA,0.427423874,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,232.1704014,NA,NA,NA,NA,NA,NA,1.290605239,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,210.7420355,NA,NA,NA,NA,NA,NA,2.164929131,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,75.99143688,NA,NA,NA,NA,NA,NA,0.254805335,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,56.46689392,NA,NA,NA,NA,NA,NA,0.022091513,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,41.15399548,NA,NA,NA,NA,NA,NA,0.015895208,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,13.21169908,NA,NA,NA,NA,NA,NA,0.013483001,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,61.41043258,NA,NA,NA,NA,NA,NA,0.052728614,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,58.19925,NA,NA,58.16725,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,22.28739728,NA,NA,NA,NA,NA,NA,0.021076705,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,21.099993,NA,NA,21.036994,NA,NA,0.062999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,21.099993,NA,NA,20.999994,NA,NA,0.099999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,20.75957802,NA,NA,NA,NA,NA,NA,0.006353639,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,20.75957802,NA,NA,NA,NA,NA,NA,0.052728614,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNaughton et al. 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,20.6259903,NA,NA,NA,NA,NA,NA,0.17491478,NA,NA,NA,NA,NA,NA,NA,NA,NA
McQuaid and Branch 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1548.75486,NA,146.32,NA,NA,3.692,NA,20.76,NA,NA,NA,NA,NA,NA,NA,2.29,0.25
McQuaid and Branch 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,988.93538,NA,93.43,NA,NA,2.832,NA,15.672,NA,NA,NA,NA,NA,NA,NA,2.29,0.25
Mee 1977,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,2494.6582,NA,NA,NA,NA,NA,NA,NA,1544.911702,NA,NA,NA,NA,NA,NA,NA,NA
Megonigal and Day 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,1234.795,209.145,8548.8,1164.35,182.5,532.8,26.791,NA,272.399865,299.190865,929.582,4.1975,9.38E-04,1.19,0.07,1.19,0.07
Megonigal and Day 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,927.1,243.09,9179.2,788.4,202.94,402.4,40.515,NA,272.3995,312.9145,665.979,4.7085,0.001392,1.22,0.08,1.22,0.08
Megonigal and Day 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,869.9775,239.44,14158,671.6,211.335,356.8,28.397,NA,261.19984,289.59684,557.6105,4.7085,0.001626,1.77,0.12,1.77,0.12
Megonigal and Day 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,749.564,233.235,8096.4,594.95,214.255,332,18.7975,NA,241.99865,260.79615,415.589,3.32515,0.001777,1.47,0.09,1.47,0.09
Menhinick 1967,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,221.92,NA,100,219,NA,484.42,2.0294,0.515881294,79.46,81.4894,NA,NA,0.001239,NA,NA,NA,NA
Menzel and Ryther 1960,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,37.7264,NA,NA,NA,NA,NA,NA,NA,14.60219,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,1249.176,NA,NA,NA,NA,NA,NA,NA,569.1956,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1368.6405,NA,NA,NA,NA,NA,NA,NA,721.2984,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1280.5441,NA,NA,NA,NA,NA,NA,NA,539.9664,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1044.5716,NA,NA,NA,NA,NA,NA,NA,653.8026,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,932.87795,NA,NA,NA,NA,NA,NA,NA,578.2476,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,885.68345,NA,NA,NA,NA,NA,NA,NA,567.1662,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,855.7936,NA,NA,NA,NA,NA,NA,NA,388.8564,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,696.90545,NA,NA,NA,NA,NA,NA,NA,446.2782,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,673.3082,NA,NA,NA,NA,NA,NA,NA,431.1672,NA,NA,NA,NA,NA,NA,NA,NA
Merino et al. 1992,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,165.18075,NA,NA,NA,NA,NA,NA,NA,68.5032,NA,NA,NA,NA,NA,NA,NA,NA
Miller et al. 1984,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,85.994,NA,271.3,NA,NA,NA,NA,NA,NA,NA,50.3992,NA,NA,NA,NA,NA,NA
Mitchell et al. 1986,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-04,0.53,0.023,NA,NA
Montagna 1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,3153.8336,NA,6.2,2916.5836,NA,NA,237.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moore 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,49.9393,NA,120.2,NA,NA,NA,NA,NA,20.9875,NA,28.9445,NA,NA,NA,NA,NA,NA
Moore 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,31.755,NA,235.2,NA,NA,NA,NA,NA,13.3225,NA,18.4325,NA,NA,NA,NA,NA,NA
Moore 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,31.317,NA,145.8,NA,NA,NA,NA,NA,13.1035,NA,18.2865,NA,NA,NA,NA,NA,NA
Moore 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,29.6745,NA,176.8,NA,NA,NA,NA,NA,12.4465,NA,17.228,NA,NA,NA,NA,NA,NA
Moore 1989,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,25.2215,NA,171.6,NA,NA,NA,NA,NA,10.585,NA,14.673,NA,NA,NA,NA,NA,NA
Muller and Suess 1979,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,160.0014,NA,7.5,NA,NA,NA,NA,NA,NA,NA,27.7984,NA,NA,NA,NA,NA,NA
Muller and Suess 1979,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,64.28015,NA,0.86,NA,NA,NA,NA,NA,NA,NA,0.00365,NA,NA,NA,NA,NA,NA
Muller and Suess 1979,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,59.9987,NA,3,NA,NA,NA,NA,NA,NA,NA,0.2409,NA,NA,NA,NA,NA,NA
Murray and Wetzel 1987,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,315.9586,NA,NA,NA,NA,NA,NA,NA,192.748908,NA,NA,NA,NA,NA,NA,NA,NA
Murray and Wetzel 1987,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,188.632,NA,NA,NA,NA,NA,NA,NA,116.81752,NA,NA,NA,NA,NA,NA,NA,NA
Murray and Wetzel 1987,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,166.5568,NA,NA,NA,NA,NA,NA,NA,41.2888,NA,NA,NA,NA,NA,NA,NA,NA
Murray and Wetzel 1987,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,77.9056,NA,NA,NA,NA,NA,NA,NA,3.83396,NA,NA,NA,NA,NA,NA,NA,NA
Murray and Wetzel 1987,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,374.4097,NA,NA,NA,NA,NA,NA,NA,114.8436,NA,NA,NA,NA,NA,NA,NA,NA
Murray and Wetzel 1987,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,305.1911,NA,NA,NA,NA,NA,NA,NA,135.999,NA,NA,NA,NA,NA,NA,NA,NA
Murray et al. 1994,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,430.7,NA,1.732,NA,NA,NA,NA,0.9486,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naiman 1976,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,1109.6,NA,35.97,NA,NA,NA,NA,2.09,NA,NA,66.576,144.248,NA,NA,NA,NA,NA
Nakamori et al. 1992,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1423.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.85,NA,NA,NA,NA,NA,NA
Nakanishi et al. 1992,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,430.7,NA,1.733,76.285,NA,0.6367,231.045,1.0167,NA,NA,NA,NA,NA,NA,NA,5.76,0.37
Nedwell et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,188.632,NA,4.24,NA,NA,NA,NA,NA,NA,NA,35.405,NA,NA,NA,NA,NA,NA
Neely and Davis 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,369.6,NA,NA,282.37,NA,NA,NA,NA,99.63,NA,NA,NA,0.0017,0.59,0.13,NA,NA
Neely and Davis 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,0.59,0.079,NA,NA
Neely and Davis 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0076,1.41,NA,NA,NA
Neely and Davis 1985,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,0.48,0.05,NA,NA
Neely and Davis 1985,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.55,NA,NA,NA
Neely and Davis 1985,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,0.48,0.025,NA,NA
Neill 1992,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,321.2,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,0.21
Nelson et al. 1990,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0104,0.63,0.05,NA,NA
Nelson et al. 1990,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235,2.77,0.29,NA,NA
Nessel 1978,terrestrial,mangroves,Mangrove forest,Marine angiosperms,514.65,NA,11370.96774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139
Neudecker 1979,aquatic,marine macroalgal beds,Macroalgal forest,Algae,316.67035,NA,NA,210.82035,NA,NA,105.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newell et al 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0279,1.8,NA,NA,NA
Newell et al 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0048,2.1,NA,NA,NA
Newell et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,448.95,NA,NA,418.65,NA,NA,NA,NA,418.65,NA,NA,NA,0.0588,3.94,1.02,NA,NA
Newell et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0676,5.92,1.7,NA,NA
Newell et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0699,2.3,NA,NA,NA
Newell et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0388,3.59,0.34,NA,NA
Newell et al. 1982,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1124.2,NA,454.6,988.42,NA,NA,135.05,6.26,NA,NA,NA,NA,NA,NA,NA,2.54,0.25
Newell et al. 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,0.7,NA,NA,NA
Newell et al. 1984,terrestrial,mangroves,Mangrove forest,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.4,NA,NA,NA
Nicotri 1977,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,2.95504,NA,0.32,1.39795,NA,NA,1.6425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicotri 1977,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,0.564144,NA,0.108,0.146,NA,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicotri 1977,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,0.209539,NA,0.0473,0.0803,NA,NA,0.12775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nielsen 1978,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,114.61,NA,100.4,111.325,NA,NA,3.47845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nienhuis and Groenedijk 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,34.6093,NA,17,32.3755,NA,NA,2.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nihlgard 1972,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,711.75,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.0266
Nixon and Oviatt 1972,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1102.77815,NA,NA,NA,NA,NA,NA,NA,453.33,NA,NA,NA,NA,NA,NA,NA,NA
Nixon and Oviatt 1972,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,767.6972,NA,NA,NA,NA,NA,NA,NA,491.6112,NA,NA,NA,NA,NA,NA,NA,NA
Nixon and Oviatt 1972,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,744.09995,NA,NA,NA,NA,NA,NA,NA,340.5012,NA,NA,NA,NA,NA,NA,NA,NA
Nixon and Oviatt 1972,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,317.7763,NA,NA,NA,NA,NA,NA,NA,94.6956,NA,NA,NA,NA,NA,NA,NA,NA
Nixon and Pilson 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,299.4533,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438,73,NA,NA,NA,NA,NA
Nixon et al. 1976,aquatic,marine macroalgal beds,Macroalgal forest,Algae,623.0915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O'Connell 1987,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.71,0.01,NA,NA
